mmsi,latitude,longitude,sog,cog,nav_status_code,received_at_utc,ulsan_bound,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,nav_status_category
440376000.0,35.083375000000004,129.08185333333333,0.0,96.7,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440136380.0,35.05405666666666,129.10207166666666,8.8,218.4,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440714100.0,35.119908333333335,129.05028833333333,0.0,206.5,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440059760.0,35.132045,129.22778,1.7,22.5,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440067880.0,35.21892166666667,129.50207,9.2,273.2,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
477987800.0,35.035001666666666,129.16977666666668,6.4,341.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440112390.0,35.102423333333334,129.05868666666666,0.0,240.7,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440800306.0,35.098216666666666,129.04870833333334,0.0,24.8,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
442667809.0,35.08520333333333,129.07071833333333,0.7,19.4,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440000000.0,35.04161,129.08608999999998,5.4,259.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
441223000.0,34.85565,128.822,0.1,155.0,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440121630.0,35.09829666666667,129.03903499999998,0.3,130.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
441654000.0,35.06064333333334,129.00735666666665,0.0,187.0,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440800305.0,35.098123333333334,129.049895,0.0,171.3,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440103970.0,35.12206833333333,129.049595,0.1,321.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
353861000.0,35.117650000000005,129.07123333333334,0.0,4.3,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
636021256.0,35.09603666666667,129.094905,0.0,72.1,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440007120.0,35.09970833333333,129.03887333333333,0.0,192.2,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440414070.0,35.09508666666667,129.02843166666668,0.0,62.3,2,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440189340.0,35.038315,129.41661333333334,1.0,67.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440137230.0,35.12330833333333,129.05514,0.0,155.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440110850.0,35.098553333333335,129.03865333333334,0.1,292.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
273299990.0,35.10031333333333,129.06018333333333,0.0,0.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440713100.0,35.109678333333335,129.06849166666666,0.0,3.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440009900.0,35.050216666666664,129.00168,0.1,52.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
273293410.0,35.095164999999994,129.06999666666667,0.0,181.6,5,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,MOORED
440207740.0,35.084385,129.08287166666668,0.0,284.0,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440051540.0,35.08226666666667,129.07958333333332,0.0,182.3,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440076320.0,35.054093333333334,129.39733166666667,8.4,220.9,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
352003011.0,35.09264333333333,129.38496,9.0,201.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
441485000.0,35.03423333333333,129.1497,10.7,135.0,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
352005382.0,34.857240000000004,129.13912166666668,1.5,30.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440002070.0,35.11967833333333,129.05059,0.0,12.4,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440130480.0,35.26280166666666,129.31714,13.7,33.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440202770.0,35.09625666666667,129.06832833333334,0.2,232.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440925000.0,35.09753166666667,129.044985,0.0,330.9,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
613321501.0,35.16701666666667,129.61300833333334,12.7,23.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
636024330.0,34.56324333333334,129.0008,1.4,24.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440118750.0,35.107225,129.066095,9.8,322.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
352906000.0,34.88618333333333,128.79186666666666,0.1,217.0,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440154960.0,35.01974499999999,129.00878166666666,9.2,253.8,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440303500.0,35.12097833333333,129.04915833333334,0.0,27.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
305854000.0,34.91193666666666,129.00148666666666,8.8,278.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440200000.0,35.100405,129.05190833333333,0.0,20.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440101970.0,35.110234999999996,129.17538166666665,7.9,190.9,15,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
538011794.0,35.00958333333333,128.91300666666666,0.0,184.1,3,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
440116550.0,35.108183333333336,129.09131666666667,0.0,317.2,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
273378130.0,35.055483333333335,129.04985,0.1,318.3,1,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
373774000.0,35.28916,129.53959166666667,12.0,119.6,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440116360.0,35.15284833333333,129.221205,2.7,33.7,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440191310.0,35.12083166666666,129.05068666666665,0.0,302.8,8,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,ANCHORED
273512400.0,34.97595166666667,129.20476666666667,9.9,235.5,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
440130790.0,35.09216,129.09032,10.7,306.1,0,,False,AISSTREAM,PositionReport,2026-06-23 23:13:30.841966+00:00,OUT_OF_ULSAN_BBOX,False,UNDER_WAY
