port_agency_cd,port_agency_nm,entry_year,entry_count,callsgn,vessel_name,nationality_cd,nationality_nm,ship_kind_cd,ship_kind_nm,entry_purpose_cd,entry_purpose_nm,origin_port_cd,origin_port_nm,prev_port_cd,prev_port_nm,next_port_cd,next_port_nm,dest_port_cd,dest_port_nm,source_system,source_table,collected_at_utc,quality_flag,is_synthetic,ship_kind_category,is_liquid_cargo_vessel,is_domestic_voyage,port_agency_label
820,울산,2026,2,D7DQ,제니스 실버,KR,대한민국,39,일반화물선,02,양하,JPKGA,KAKOGAWA,JPKGA,KAKOGAWA,KRPTK,평택.당진,KRPTK,평택.당진,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,52,130029,유성호,KR,대한민국,52,석유제품 운반선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,1,3E3683,SAEHAN ASTRO,PA,파나마,55,LPG 운반선,03,적하,CNCJG,CAOJING,CNCJG,CAOJING,CNZAP,ZHAPU,CNZAP,ZHAPU,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,LPG선,True,False,울산항
820,울산,2026,4,DSEZ7,마린가스,KR,대한민국,55,LPG 운반선,02,양하,JPOIT,OITA,JPOIT,OITA,KRTSN,대산,KRTSN,대산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,LPG선,True,False,울산항
820,울산,2026,1,BFBE,FU LONG,CN,중국,21,산물선(벌크선),02,양하,CNTAZ,TAIZHOU PT,CNTAZ,TAIZHOU PT,JPSBS,SHIBUSHI,JPSBS,SHIBUSHI,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,False,울산항
820,울산,2026,14,D7IE,에프씨 델라,KR,대한민국,53,케미칼 운반선,02,양하,KRTSN,대산,KRTSN,대산,KRTSN,대산,KRTSN,대산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,True,울산항
820,울산,2026,1,3E2608,KANG SHUN 88,PA,파나마,39,일반화물선,03,적하,KRINC,인천,KRINC,인천,CNSHG,SHANGHAI PT,CNSHG,SHANGHAI PT,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타/불명,False,True,울산항
820,울산,2026,1,9V9220,SANMAR SONATINA,SG,싱가포르,52,석유제품 운반선,03,적하,JPYKK,YOKKAICHI,JPYKK,YOKKAICHI,,,,,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,False,울산항
820,울산,2026,59,230032,해성호,KR,대한민국,59,기타 유조선,03,적하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,기타화물선,False,True,울산항
820,울산,2026,22,D7ZP,케이티에스그린,KR,대한민국,52,석유제품 운반선,02,양하,KRYOS,여수,KRYOS,여수,KRYOS,여수,KRYOS,여수,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,화물/시멘트선,False,True,울산항
820,울산,2026,10,130001,동진에이스호,KR,대한민국,93,급유선,02,양하,KRPUS,부산,KRPUS,부산,KRPUS,부산,KRPUS,부산,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,부선,False,True,울산항
820,울산,2026,18,3EKP7,SPRING EURO,PA,파나마,53,케미칼 운반선,03,적하,JPOIG,OHIGAWA,JPOIG,OHIGAWA,JPMIN,MINAMATA,JPMIN,MINAMATA,PORTMIS,VsslEtrynd5_Info5,2026-06-23 23:13:26.861128+00:00,OK,False,목재선,False,False,울산항
