station_id,station_name,observed_at_utc,wave_height_sig_m,wave_height_max_m,wave_height_avg_m,wave_period_s,wave_dir_deg,wind_dir1_deg,wind_speed1_ms,gust1_ms,wind_dir2_deg,wind_speed2_ms,gust2_ms,air_temp_c,sea_temp_c,air_pressure_hpa,humidity_pct,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
22189,울산,2026-06-23 21:30:00+00:00,2.0,2.7,1.3,6.3,77,64,11.0,14.5,59,10.1,13.4,21.1,22.0,1009.0,84.0,KMA_APIHUB_BUOY,kma_buoy,2026-06-23 23:24:25.747361+00:00,OK,False
22189,울산,2026-06-23 22:00:00+00:00,1.9,3.4,1.4,6.3,77,62,11.0,14.0,57,10.1,12.9,21.2,21.9,1009.1,84.0,KMA_APIHUB_BUOY,kma_buoy,2026-06-23 23:24:25.747361+00:00,OK,False
22189,울산,2026-06-23 22:30:00+00:00,1.9,3.0,1.3,6.3,75,64,10.7,14.4,59,9.9,13.3,21.2,21.9,1009.1,85.0,KMA_APIHUB_BUOY,kma_buoy,2026-06-23 23:24:25.747361+00:00,OK,False
22189,울산,2026-06-23 23:00:00+00:00,1.8,2.7,1.3,7.1,78,59,11.0,14.3,54,10.2,13.2,21.2,21.9,1009.3,85.0,KMA_APIHUB_BUOY,kma_buoy,2026-06-23 23:24:25.747361+00:00,OK,False
