station_id,station_name,agency_code,agency_name,latitude,longitude,observed_at_utc,wind_dir_deg,wind_speed_ms,air_temp_c,humidity_pct,air_pressure_hpa,visibility_m,source_system,source_table,collected_at_utc,quality_flag,is_synthetic
1041519,울산항동방파제서단등대,104,울산청,35.4665,129.399888889,2026-06-23 18:40:00+00:00,140,8.22,,96,,19.8,MMPNT_MARINEWEATHER,openWeatherNow,2026-06-23 23:24:27.256692+00:00,OK,False
1041519,울산항동방파제서단등대,104,울산청,35.4665,129.399888889,2026-06-23 23:00:00+00:00,143,8.22,20.3,90,1008.0,19.8,MMPNT_MARINEWEATHER,openWeatherNow,2026-06-23 23:24:27.256692+00:00,OK,False
